zone_group,total_cells,mask_s0_cells,mask_s0_pct,oopz_cells,transport_cells,both_cells,oopz_objects_total,oopz_rank1,oopz_rank0,conflict_total,conflict_overlap,conflict_transport,conflict_both,dominant_type
Industrial,1854,274,14.8,55,234,15,6,3,3,15,0,15,0,administration_business
Non_Urban,3134,235,7.5,60,184,9,1,1,0,9,0,9,0,sport
Outside,18760,91,0.5,3,88,0,0,0,0,0,0,0,0,sport
Public,2127,1249,58.7,739,704,194,129,71,58,322,128,169,25,recreation
Recreation,242,129,53.3,96,56,23,8,8,0,36,13,23,0,recreation
Residential,4973,2573,51.7,1288,1411,126,264,168,96,378,252,121,5,education
Special_Restricted,4027,403,10.0,23,383,3,3,2,1,3,0,3,0,recreation
